"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Oude IJsselstreek";1509;"Oude IJsselstreek";39346;"30-03-2022";"12-04-2022";545;1385.1;6;15.2;0;0
"Ouder-Amstel";437;"Ouder-Amstel";14125;"30-03-2022";"12-04-2022";139;984.1;1;7.1;0;0
"Oudewater";589;"Oudewater";10138;"30-03-2022";"12-04-2022";69;680.6;1;9.9;0;0
"Overbetuwe";1734;"Overbetuwe";48214;"30-03-2022";"12-04-2022";516;1070.2;4;8.3;0;0
"Papendrecht";590;"Papendrecht";32171;"30-03-2022";"12-04-2022";259;805.1;7;21.8;0;0
"Peel en Maas";1894;"Peel en Maas";43660;"30-03-2022";"12-04-2022";213;487.9;1;2.3;0;0
"Pekela";765;"Pekela";12176;"30-03-2022";"12-04-2022";135;1108.7;2;16.4;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55674;"30-03-2022";"12-04-2022";685;1230.4;4;7.2;0;0
"Purmerend";439;"Purmerend";91793;"30-03-2022";"12-04-2022";1075;1171.1;2;2.2;1;1.1
"Putten";273;"Putten";24365;"30-03-2022";"12-04-2022";243;997.3;4;16.4;0;0
"Raalte";177;"Raalte";37911;"30-03-2022";"12-04-2022";604;1593.2;4;10.6;0;0
"Reimerswaal";703;"Reimerswaal";22896;"30-03-2022";"12-04-2022";173;755.6;2;8.7;0;0
"Renkum";274;"Renkum";31417;"30-03-2022";"12-04-2022";312;993.1;2;6.4;0;0
"Renswoude";339;"Renswoude";5556;"30-03-2022";"12-04-2022";74;1331.9;2;36;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13127;"30-03-2022";"12-04-2022";93;708.5;1;7.6;0;0
"Rheden";275;"Rheden";43525;"30-03-2022";"12-04-2022";472;1084.4;1;2.3;0;0
"Rhenen";340;"Rhenen";20203;"30-03-2022";"12-04-2022";179;886;2;9.9;1;4.9
"Ridderkerk";597;"Ridderkerk";46671;"30-03-2022";"12-04-2022";374;801.4;3;6.4;0;0
"Rijssen-Holten";1742;"Rijssen-Holten";38204;"30-03-2022";"12-04-2022";411;1075.8;5;13.1;0;0
"Rijswijk";603;"Rijswijk";55220;"30-03-2022";"12-04-2022";613;1110.1;6;10.9;0;0
"Roerdalen";1669;"Roerdalen";20580;"30-03-2022";"12-04-2022";136;660.8;1;4.9;0;0
"Roermond";957;"Roermond";58763;"30-03-2022";"12-04-2022";415;706.2;3;5.1;0;0
"Roosendaal";1674;"Roosendaal";77200;"30-03-2022";"12-04-2022";509;659.3;9;11.7;0;0
"Rotterdam";599;"Rotterdam";651631;"30-03-2022";"12-04-2022";5606;860.3;78;12;6;0.9
"Rozendaal";277;"Rozendaal";1726;"30-03-2022";"12-04-2022";24;1390.5;0;0;0;0
