"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Oss";828;"Oss";91915;"21-04-2021";"04-05-2021";836;909.5;1;1.1;1;1.1
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"21-04-2021";"04-05-2021";244;619.5;1;2.5;1;2.5
"Ouder-Amstel";437;"Ouder-Amstel";14026;"21-04-2021";"04-05-2021";57;406.4;0;0;0;0
"Oudewater";589;"Oudewater";10230;"21-04-2021";"04-05-2021";40;391;0;0;0;0
"Overbetuwe";1734;"Overbetuwe";47906;"21-04-2021";"04-05-2021";355;741;0;0;1;2.1
"Papendrecht";590;"Papendrecht";32136;"21-04-2021";"04-05-2021";239;743.7;0;0;0;0
"Peel en Maas";1894;"Peel en Maas";43425;"21-04-2021";"04-05-2021";291;670.1;2;4.6;0;0
"Pekela";765;"Pekela";12196;"21-04-2021";"04-05-2021";83;680.6;0;0;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"21-04-2021";"04-05-2021";317;573.2;1;1.8;0;0
"Purmerend";439;"Purmerend";81249;"21-04-2021";"04-05-2021";429;528;0;0;0;0
"Putten";273;"Putten";24112;"21-04-2021";"04-05-2021";152;630.4;1;4.1;0;0
"Raalte";177;"Raalte";37712;"21-04-2021";"04-05-2021";155;411;0;0;0;0
"Reimerswaal";703;"Reimerswaal";22730;"21-04-2021";"04-05-2021";255;1121.9;7;30.8;0;0
"Renkum";274;"Renkum";31419;"21-04-2021";"04-05-2021";104;331;0;0;0;0
"Renswoude";339;"Renswoude";5444;"21-04-2021";"04-05-2021";31;569.4;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"21-04-2021";"04-05-2021";88;671.1;0;0;0;0
"Rheden";275;"Rheden";43761;"21-04-2021";"04-05-2021";194;443.3;0;0;1;2.3
"Rhenen";340;"Rhenen";20119;"21-04-2021";"04-05-2021";131;651.1;3;14.9;1;5
"Ridderkerk";597;"Ridderkerk";46189;"21-04-2021";"04-05-2021";367;794.6;3;6.5;1;2.2
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"21-04-2021";"04-05-2021";286;749.1;2;5.2;2;5.2
"Rijswijk";603;"Rijswijk";54450;"21-04-2021";"04-05-2021";302;554.6;1;1.8;2;3.7
"Roerdalen";1669;"Roerdalen";20574;"21-04-2021";"04-05-2021";137;665.9;0;0;1;4.9
"Roermond";957;"Roermond";58260;"21-04-2021";"04-05-2021";494;847.9;2;3.4;0;0
"Roosendaal";1674;"Roosendaal";77251;"21-04-2021";"04-05-2021";422;546.3;2;2.6;0;0
"Rotterdam";599;"Rotterdam";651157;"21-04-2021";"04-05-2021";4489;689.4;41;6.3;13;2
"Rozendaal";277;"Rozendaal";1704;"21-04-2021";"04-05-2021";5;293.4;0;0;0;0
